elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
40.528,3713482752,4
40.583,3734061056,4
40.638,3790848000,4
40.694,4045537280,4
40.749,4316135424,4
40.804,4544479232,4
40.859,4590206976,4
40.914,4622106624,4
40.970,4661182464,4
41.024,4705878016,4
41.080,4737286144,4
41.135,4772560896,4
41.189,4832362496,4
41.245,5050073088,4
41.298,5295718400,4
41.354,5529518080,4
41.409,5671010304,4
41.464,5692276736,4
41.520,5717491712,4
41.573,5769379840,4
41.629,4391157760,3
41.683,4411162624,4
41.738,4534124544,4
41.794,4597530624,4
41.849,4629479424,4
41.909,4663574528,4
41.968,4689821696,4
42.027,4712333312,4
42.087,4732796928,4
42.147,4752375808,4
42.207,4772577280,4
42.267,4793729024,4
42.328,4814995456,4
42.382,4829298688,4
42.442,4846895104,4
42.502,4865785856,4
42.557,4879450112,4
42.617,4897357824,4
42.677,4911693824,4
42.738,4925194240,4
42.790,4954406912,4
42.851,3363405824,3
42.909,3376250880,4
42.965,3463299072,4
43.025,3659579392,4
43.085,3907469312,4
43.142,4159422464,4
43.199,4355653632,4
43.259,4391157760,4
43.319,4428447744,4
43.374,4481073152,4
43.434,4522901504,4
43.494,4555030528,4
43.555,4629118976,4
43.607,4662034432,4
43.667,4685660160,4
43.724,4704813056,4
43.784,4719394816,4
43.844,4736598016,4
43.904,4753932288,4
43.965,4769611776,4
44.024,4792631296,4
44.084,4806967296,4
44.145,4819058688,4
44.202,4831690752,4
44.262,4847779840,4
44.314,4857446400,4
44.375,5089542144,4
44.435,3965845504,4
44.489,4154228736,3
44.542,4290084864,4
44.602,4380950528,4
44.662,4432379904,4
44.722,4500340736,4
44.773,4540743680,4
44.834,4572004352,4
44.887,4604067840,4
44.947,4671111168,4
45.007,4702896128,4
45.067,4728438784,4
45.127,4750098432,4
45.186,4768612352,4
45.246,4786634752,4
45.307,4803936256,4
45.364,4816568320,4
45.424,3346071552,4
45.481,1905262592,3
45.541,1917894656,3
45.596,2005696512,4
45.648,2118287360,4
45.700,2176270336,4
45.757,2235023360,4
45.817,2290466816,4
45.876,2340372480,4
45.936,2391261184,4
45.993,2431156224,4
46.053,2603417600,4
46.114,2868068352,4
46.174,3148464128,4
46.226,3416260608,4
46.283,3443097600,4
46.343,3496738816,4
46.401,3557048320,4
46.461,3616210944,4
46.515,3656335360,4
46.575,3721445376,4
46.632,3784835072,4
46.690,3812179968,4
46.750,3842637824,4
46.807,3867541504,4
46.867,4085596160,4
46.927,4388601856,4
46.980,4828774400,4
47.041,5273583616,4
47.101,5465423872,4
47.157,5593350144,4
47.217,5658509312,4
47.276,5712183296,4
47.332,5765349376,4
47.392,5847875584,4
47.451,5883985920,4
47.512,5951143936,4
47.572,5975998464,4
47.630,5987467264,4
47.690,5998428160,4
47.750,6007406592,4
47.811,6022889472,4
47.866,4556095488,4
47.926,4562042880,3
47.983,4565319680,4
48.041,4646043648,4
48.101,4680318976,4
48.161,4711956480,4
48.221,4739760128,4
48.282,4768202752,4
48.342,4792107008,4
48.401,4807655424,4
48.462,4825841664,4
48.522,3439247360,4
48.583,3458203648,3
48.645,3475685376,4
48.705,3569762304,4
48.765,3613818880,4
48.826,3656826880,4
48.886,3701555200,4
48.943,3736649728,4
49.003,3773448192,4
49.064,3804102656,4
49.122,3831021568,4
49.182,3858726912,4
49.237,3881877504,4
49.297,3908173824,4
49.357,3930324992,4
49.417,4137680896,4
49.478,4400332800,4
49.532,4647174144,4
49.593,3258400768,3
49.654,3284811776,4
49.710,3393470464,4
49.765,3474309120,4
49.824,3535667200,4
49.882,3580624896,4
49.942,3662397440,4
50.001,3719282688,4
50.057,3976003584,4
50.117,4296851456,4
50.178,4528898048,4
50.232,4650631168,4
50.292,4679991296,4
50.343,4712300544,4
50.399,4765401088,4
50.459,4815273984,4
50.519,4841832448,4
50.573,4903518208,4
50.634,4947050496,4
50.694,4966662144,4
50.754,4985077760,4
50.807,5001625600,4
50.867,3543744512,3
50.929,3555082240,4
50.990,2400829440,4
51.050,2722037760,3
51.111,2987982848,4
51.172,3109044224,4
51.232,3186540544,4
51.292,3274850304,4
51.349,3335159808,4
51.409,3386916864,4
51.468,3472343040,4
51.526,3526623232,4
51.582,3564601344,4
51.640,3597549568,4
51.701,3625353216,4
51.757,3656204288,4
51.817,3692085248,4
51.877,3717890048,4
51.938,3747512320,4
51.990,3772350464,4
52.051,3797450752,4
52.110,3820339200,4
52.165,3840802816,4
52.225,3869523968,4
52.286,3891380224,4
52.340,3909894144,4
52.400,3930947584,4
52.451,4142891008,4
52.510,3002843136,3
52.570,3391864832,4
52.630,3864264704,4
52.682,4163289088,4
52.742,4414996480,4
52.801,4546150400,4
52.857,4601004032,4
52.913,4661903360,4
52.972,4744757248,4
53.032,4841488384,4
53.084,4882071552,4
53.143,4960829440,4
53.201,5002575872,4
53.262,5035769856,4
53.315,5059330048,4
53.375,5089247232,4
53.430,5110857728,4
53.490,3372662784,4
53.551,3385638912,3
53.613,3405119488,4
53.673,3500933120,4
53.733,3543810048,4
53.788,3581689856,4
53.849,3620519936,4
53.909,3651338240,4
53.965,2150367232,4
54.026,2178383872,3
54.086,2403860480,4
54.143,2747727872,4
54.198,2993553408,4
54.251,3254009856,4
54.310,3298017280,4
54.365,3347300352,4
54.425,3420422144,4
54.482,3473850368,4
54.542,3523575808,4
54.598,3580624896,4
54.659,3655712768,4
54.712,3689676800,4
54.767,3717185536,4
54.823,3738681344,4
54.884,3766206464,4
54.943,3794567168,4
55.001,3978625024,4
55.057,4203069440,4
55.117,4437721088,4
55.176,4692606976,4
55.234,4709908480,4
55.287,4741054464,4
55.338,4780654592,4
55.398,4822253568,4
55.459,4853432320,4
55.519,4906270720,4
55.573,5157355520,4
55.634,3908911104,4
55.693,4130062336,3
55.753,4326539264,4
55.813,2868887552,3
55.875,2929393664,4
55.936,3084386304,4
55.996,3169222656,4
56.048,3224436736,4
56.109,3317432320,4
56.168,3387670528,4
56.226,3432644608,4
56.287,3478405120,4
56.339,3510534144,4
56.399,3545399296,4
56.459,3573448704,4
56.515,3596025856,4
56.575,3635036160,4
56.635,3660873728,4
56.690,2147663872,4
56.751,2173534208,3
56.808,2201600000,4
56.869,2307653632,4
56.923,2356477952,4
56.984,2658910208,4
57.044,2938306560,4
57.104,3126968320,4
57.157,3168534528,4
57.217,3223126016,4
57.273,3477946368,4
57.332,3763994624,4
57.392,4046848000,4
57.452,4295704576,4
57.507,4328275968,4
57.567,4372152320,4
57.626,4437147648,4
57.684,4477845504,4
57.740,4508221440,4
57.801,4561911808,4
57.857,4616028160,4
57.917,4638932992,4
57.977,4658675712,4
58.034,4715528192,4
58.090,4952080384,4
58.150,5189861376,4
58.208,4180492288,3
58.270,4194811904,4
58.323,4293525504,4
58.384,4370300928,4
58.443,4420648960,4
58.498,4458397696,4
58.559,4534796288,4
58.619,4574363648,4
58.675,4607705088,4
58.735,4639326208,4
58.790,4659249152,4
58.850,3138322432,4
58.910,3155230720,3
58.970,3172827136,4
59.026,3269967872,4
59.085,3328212992,4
59.140,3372744704,4
59.200,3414261760,4
59.259,3701342208,4
59.320,3961110528,4
59.376,4058480640,4
59.437,4100980736,4
59.490,4154949632,4
59.548,4190126080,4
59.609,4233822208,4
59.669,4281565184,4
59.724,4301635584,4
59.784,4325195776,4
59.844,4362502144,4
59.901,2802188288,4
59.957,2819915776,3
60.019,2835365888,4
60.079,2933063680,4
60.132,2977153024,4
60.192,3017162752,4
60.252,3063709696,4
60.308,3314057216,4
60.368,3639967744,4
60.424,3818897408,4
60.484,3935109120,4
60.544,3972497408,4
60.605,4020748288,4
60.663,4067213312,4
60.724,4102488064,4
60.782,2750414848,4
60.839,2809430016,3
60.892,2834497536,4
60.949,2945040384,4
61.007,2991587328,4
61.067,3032465408,4
61.122,3063169024,4
61.182,3095855104,4
61.242,3132620800,4
61.299,2018279424,3
61.361,2046820352,4
61.421,2154315776,4
61.481,2292645888,4
61.538,2557902848,4
61.599,2877587456,4
61.657,3139141632,4
61.715,3205840896,4
61.775,3261038592,4
61.832,3318480896,4
61.892,1950400512,4
61.947,1993359360,3
62.009,2047475712,4
62.069,2197372928,4
62.130,2262745088,4
62.184,2549514240,4
62.236,2842574848,4
62.297,3097362432,4
62.357,3157901312,4
62.417,3223715840,4
62.478,3293642752,4
62.538,3585163264,4
62.598,3841359872,4
62.655,4103110656,4
62.716,4152639488,4
62.773,4193517568,4
62.834,4253597696,4
62.890,4294082560,4
62.940,4333387776,4
63.001,4390797312,4
63.057,4415242240,4
63.117,4442095616,4
63.173,4462428160,4
63.234,4480352256,4
63.290,4498948096,4
63.350,4706287616,4
63.410,4960878592,4
63.468,5196922880,4
63.525,5306351616,4
63.582,5328764928,4
63.642,5359239168,4
63.701,5399494656,4
63.762,5430591488,4
63.815,5458493440,4
63.875,5510922240,4
63.936,5524275200,4
63.996,5534990336,4
64.056,5541003264,4
64.115,5546508288,4
64.175,5553471488,4
64.235,5563940864,4
64.287,5568413696,4
64.347,5576327168,4
64.407,5582553088,4
64.465,5588680704,4
64.525,5594955776,4
64.586,5599543296,4
64.643,5606424576,4
64.699,5613535232,4
64.759,5618483200,4
64.818,5637570560,4
64.878,5651398656,4
64.932,5653676032,4
64.992,5655724032,4
65.052,5658378240,4
65.110,4249092096,4
65.166,4251353088,3
65.228,4259348480,4
65.280,4335878144,4
65.340,4373905408,4
65.401,3096035328,4
65.460,3123298304,3
65.517,3144171520,4
65.568,3237183488,4
65.623,3291430912,4
65.684,3333177344,4
65.743,3371827200,4
65.803,3406462976,4
65.859,3436773376,4
65.915,2081177600,4
65.976,2109702144,3
66.033,2135048192,4
66.084,2233221120,4
