elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
51.978,6279135232,4
52.038,6303301632,4
52.094,6320537600,4
52.155,6338412544,4
52.211,6356533248,4
52.272,6376079360,4
52.331,6393856000,4
52.386,3850158080,4
52.447,3864510464,3
52.504,3877601280,4
52.564,3970056192,4
52.615,4013768704,4
52.675,4057055232,4
52.728,4090134528,4
52.788,4125671424,4
52.848,4158586880,4
52.909,4190683136,4
52.969,4220010496,4
53.029,4246274048,4
53.086,4273176576,4
53.146,4668194816,4
53.197,5006262272,4
53.258,5548802048,4
53.311,6012846080,4
53.371,6114426880,4
53.428,6144327680,4
53.486,6187204608,4
53.546,6327664640,4
53.607,6410780672,4
53.667,6452887552,4
53.719,6484361216,4
53.780,6570016768,4
53.836,6620741632,4
53.896,6645301248,4
53.956,6669058048,4
54.014,6692487168,4
54.070,6716669952,4
54.128,6735249408,4
54.188,6803275776,4
54.247,3967123456,4
54.302,3983294464,3
54.361,4001431552,4
54.414,4085760000,4
54.474,4137041920,4
54.534,4179329024,4
54.586,4211589120,4
54.646,4245995520,4
54.707,4278517760,4
54.760,4305321984,4
54.819,4335222784,4
54.880,4835065856,4
54.936,5280825344,4
54.994,5819858944,4
55.055,6146818048,4
55.111,6173163520,4
55.171,6215385088,4
55.232,6306201600,4
55.286,6438584320,4
55.344,6517129216,4
55.405,3761979392,4
55.464,3821797376,3
55.521,3898982400,4
55.578,4003741696,4
55.638,4066705408,4
55.694,4111286272,4
55.755,4153245696,4
55.815,4192845824,4
55.872,4227203072,4
55.933,4263395328,4
55.986,4289298432,4
56.046,4321820672,4
56.103,4348608512,4
56.163,4376117248,4
56.220,4401217536,4
56.280,4427055104,4
56.336,4452548608,4
56.395,4476223488,4
56.455,4501127168,4
56.511,4527177728,4
56.565,4547674112,4
56.619,4574216192,4
56.670,4595826688,4
56.730,4618092544,4
56.786,2238169088,4
56.847,2668249088,3
56.902,3232464896,4
56.962,3772170240,4
57.022,3869605888,4
57.078,3923968000,4
57.138,3997204480,4
57.197,4177362944,4
57.257,4245487616,4
57.311,4292460544,4
57.372,4353441792,4
57.432,4445782016,4
57.486,4492410880,4
57.546,4529930240,4
57.603,4959682560,4
57.661,5354209280,4
57.721,5902680064,4
57.782,6246694912,4
57.834,6266093568,4
57.895,6307315712,4
57.955,6402654208,4
58.015,6544572416,4
58.076,6579683328,4
58.134,6613286912,4
58.193,6692192256,4
58.253,6747750400,4
58.313,6769999872,4
58.369,6794428416,4
58.429,6814351360,4
58.486,6834356224,4
58.546,6851903488,4
58.603,6866534400,4
58.663,6884311040,4
58.719,6899138560,4
58.780,6913687552,4
58.837,6933528576,4
58.894,6944702464,4
58.955,6958202880,4
59.011,4404576256,4
59.072,4416389120,3
59.134,4428988416,4
59.186,4516085760,4
59.246,4904796160,4
59.303,5281546240,4
59.363,5845139456,4
59.423,3536093184,4
59.481,3615719424,4
59.540,3654795264,3
59.596,3699458048,4
59.653,3925295104,4
59.713,4045586432,4
59.773,4112531456,4
59.831,4175806464,4
59.891,4286889984,4
59.945,4341186560,4
60.005,4384030720,4
60.065,4419584000,4
60.125,4451729408,4
60.186,4481728512,4
60.236,4510482432,4
60.296,4544036864,4
60.356,4572020736,4
60.414,4599644160,4
60.470,4624138240,4
60.530,4652728320,4
60.590,4681498624,4
60.644,4708352000,4
60.697,4732354560,4
60.757,4758208512,4
60.813,4785307648,4
60.874,4811341824,4
60.928,4833837056,4
60.980,4851548160,4
61.040,4875124736,4
61.094,4894408704,4
61.155,4916150272,4
61.211,4935237632,4
61.271,4956078080,4
61.332,5151342592,4
61.386,5554749440,4
61.446,6063439872,4
61.506,6587514880,4
61.558,6732070912,4
61.618,6756597760,4
61.669,6784778240,4
61.730,6888931328,4
61.786,7003389952,4
61.846,7035289600,4
61.899,7061995520,4
61.953,7534428160,4
62.013,7991738368,4
62.073,8509276160,4
62.134,8923529216,4
62.186,8982118400,4
62.246,9023750144,4
62.307,6387351552,4
62.368,6527893504,3
62.430,6593675264,4
62.490,6697811968,4
62.544,7099940864,4
62.605,7606108160,4
62.661,8114995200,4
62.721,8735277056,4
62.778,9290448896,4
62.838,9831301120,4
62.894,10306633728,4
62.955,10738008064,4
63.015,10832920576,4
63.075,10896982016,4
63.136,8132739072,4
63.198,8168816640,3
63.259,8195604480,4
63.320,8380661760,4
63.380,8576909312,4
63.436,8667365376,4
63.496,8721416192,4
63.557,8773877760,4
63.617,8818900992,4
63.669,8877015040,4
63.730,8978825216,4
63.786,9073246208,4
63.846,9157017600,4
63.905,9208020992,4
63.961,9242771456,4
64.021,9266806784,4
64.082,9298329600,4
64.140,9331949568,4
64.200,9353412608,4
64.253,9376743424,4
64.313,9822535680,4
64.368,10113777664,4
64.427,10487693312,4
64.488,10870177792,4
64.548,8095825920,4
64.603,8126939136,4
64.665,8210071552,3
64.727,8343404544,4
64.787,8451964928,4
64.847,8517484544,4
64.903,8621195264,4
64.961,8678555648,4
65.021,8714960896,4
65.082,8755068928,4
65.136,8785690624,4
65.196,8814346240,4
65.257,8842461184,4
65.314,8865071104,4
65.369,8893628416,4
65.430,8923578368,4
65.490,6618595328,4
65.547,6637420544,3
65.609,6965886976,4
65.661,7391182848,4
65.721,7949598720,4
65.778,8472002560,4
65.838,8607301632,4
65.894,8651587584,4
65.955,8763392000,4
66.011,8969011200,4
66.071,3173531648,4
66.132,3218014208,4
66.186,3253501952,4
66.247,3339173888,3
66.308,3405611008,4
66.369,3514646528,4
66.429,3584032768,4
66.489,3634200576,4
66.550,3680796672,4
66.610,3725164544,4
66.670,3769434112,4
66.731,3806216192,4
66.786,1137459200,4
66.847,1169047552,3
66.908,1202814976,4
66.969,1317634048,4
67.029,1385037824,4
67.089,1946992640,4
67.147,2515533824,4
67.208,3141779456,4
67.268,3641573376,4
67.328,4039655424,4
67.389,4555767808,4
67.444,4896309248,4
67.505,5016027136,4
67.561,5081333760,4
67.621,5246107648,4
67.682,5386076160,4
67.739,5459738624,4
67.799,5535547392,4
67.860,5608587264,4
67.920,5643321344,4
